iter	Logloss
136	0.3128113168
137	0.3125384906
138	0.3121895006
139	0.3113616458
140	0.3108000311
141	0.3103256211
142	0.3097633742
143	0.309140703
144	0.3088199262
145	0.308161805
146	0.3078685939
147	0.3074857162
148	0.306976188
149	0.3064078806
150	0.3059080801
151	0.3054622243
152	0.3050469055
153	0.3047197498
154	0.3043967235
155	0.3038621952
156	0.3033392029
157	0.3028279811
158	0.3024870911
159	0.3023481862
160	0.3017423773
161	0.3011923354
162	0.3006323505
163	0.3002977615
164	0.2998575526
165	0.2995599206
166	0.2992919432
167	0.2989830446
168	0.2987036245
169	0.2981283759
170	0.297750695
171	0.2970996962
172	0.2968157711
173	0.2965110028
174	0.2962018947
175	0.2958280543
176	0.2955795358
177	0.2951696662
178	0.2949257308
179	0.2945625341
180	0.2943150104
181	0.2939967302
182	0.2936560288
183	0.2933419842
184	0.292755267
185	0.2922717032
186	0.2918200548
187	0.2915341895
188	0.2911914362
189	0.2908532203
190	0.2905875701
191	0.2902890049
192	0.289895834
193	0.2894855769
194	0.2891111503
195	0.2884919075
196	0.2880773556
197	0.2876237728
198	0.2872671933
199	0.286790307
200	0.2863909791
201	0.2859341268
202	0.2853930337
203	0.2846758763
204	0.2844320053
205	0.2840424302
206	0.2835096594
207	0.2832267417
208	0.2829223392
209	0.2827112237
210	0.2823534294
211	0.282051783
212	0.2815360729
213	0.2809471443
214	0.2806135899
215	0.2802030009
216	0.279848882
217	0.2794374822
218	0.2791371841
219	0.2787229462
220	0.2784531846
221	0.2781391569
222	0.2779011524
223	0.2775316384
224	0.2771258419
225	0.2764718962
226	0.2762058625
227	0.2758814755
228	0.27574103
229	0.2754802882
230	0.2749509299
231	0.2746063107
232	0.2743110799
233	0.273848467
234	0.2735606176
235	0.2733598917
236	0.2728857859
237	0.2726529398
238	0.2722727362
239	0.2720188891
240	0.271643092
241	0.2712777691
242	0.2707911296
243	0.2705157518
244	0.2702367497
245	0.2698939
246	0.2696397546
247	0.2692701822
248	0.2690697493
249	0.2686739556
250	0.2683892305
251	0.2680691223
252	0.2676523109
253	0.2673828094
254	0.2673310209
255	0.2668419047
256	0.2665305006
257	0.266294584
258	0.2659934775
259	0.2657901354
260	0.2652440604
261	0.2649780583
262	0.2646875899
263	0.2640580028
264	0.2636646567
265	0.2633201413
266	0.2632757614
267	0.2631050106
268	0.2629641405
269	0.2626410541
270	0.262269965
271	0.2619715059
272	0.2618056948
273	0.2616471114
274	0.2612903236
275	0.2607310878
276	0.2605298447
277	0.2603186002
278	0.2598535184
279	0.2595589118
280	0.2592752017
281	0.2590536773
282	0.2588386474
283	0.2587086793
284	0.2585391457
285	0.2584593442
286	0.2582516219
287	0.2579275418
288	0.257687232
289	0.2572755174
290	0.2568339901
291	0.2565852059
292	0.2563799484
293	0.2563148417
294	0.2558787747
295	0.2557041602
296	0.2554756988
297	0.2551769527
298	0.2550584176
299	0.254700451
300	0.2544305685
301	0.2539527354
302	0.2536721673
303	0.2533365259
304	0.2529492639
305	0.252778654
306	0.2525119241
307	0.2522569075
308	0.2520700436
309	0.2517113897
310	0.2513875422
311	0.2510663033
312	0.250762522
313	0.2505002776
314	0.2503220364
315	0.2500970982
316	0.2498200809
317	0.2495796386
318	0.2492424717
319	0.2489448775
320	0.2486847365
321	0.2484302405
322	0.2481830898
323	0.2478752516
324	0.2476201023
325	0.2474836256
326	0.2472533642
327	0.2468282683
328	0.2466274639
329	0.2464422633
330	0.2462501966
331	0.246018078
332	0.2457639075
333	0.2455783454
334	0.2453140157
335	0.245018306
336	0.2447910862
337	0.2444919907
338	0.2439683326
339	0.2437415651
340	0.2435733532
341	0.2433953222
342	0.2432321481
343	0.2431122159
344	0.2429323082
345	0.2428281389
346	0.2426134287
347	0.2424218064
348	0.2421804815
349	0.241948877
350	0.2417363372
351	0.241397601
352	0.2412488453
353	0.2409668863
354	0.240790199
355	0.2405557191
356	0.2401491783
357	0.2398438465
358	0.2394720918
359	0.2392790937
360	0.2391050649
361	0.2388111738
362	0.2386170189
363	0.2381950573
364	0.2379511245
365	0.2377441364
366	0.2374972071
367	0.2372416181
368	0.2369542709
369	0.2367401211
370	0.2364966094
371	0.2364427081
372	0.2363117825
373	0.2362033194
374	0.2360377332
375	0.2358740804
376	0.2354965593
377	0.2353681179
378	0.2350429666
379	0.2347230025
380	0.2344206375
381	0.2342081211
382	0.2340410326
383	0.2338477474
384	0.2335401427
385	0.2333696417
386	0.2331834301
387	0.2330434578
388	0.232851488
389	0.232714422
390	0.2324085666
391	0.2321530904
392	0.2319491224
393	0.2318187589
394	0.2316233533
395	0.2315061242
396	0.2312466053
397	0.2311006158
398	0.2308804447
399	0.2306888281
400	0.2303908264
401	0.2299471816
402	0.2297771511
403	0.2295636543
404	0.2293371795
405	0.2290719536
406	0.2288695662
407	0.22860166
408	0.2282561319
409	0.2280762954
410	0.2279197682
411	0.227770618
412	0.22761373
413	0.2274156601
414	0.227206329
415	0.2270080454
416	0.2265228793
417	0.2263038628
418	0.2261707148
419	0.2259311954
420	0.2257795606
421	0.2254498595
422	0.2253088455
423	0.2250701609
424	0.224801466
425	0.2245328829
426	0.2241874869
427	0.2239301615
428	0.223798599
429	0.2236468764
430	0.2233863451
431	0.2232681223
432	0.2231209447
433	0.2229650948
434	0.2227772721
435	0.2225389781
436	0.2223610832
437	0.2222849888
438	0.2220243028
439	0.2218037517
440	0.2216714911
441	0.221513966
442	0.2214486414
443	0.2212641482
444	0.2211297494
445	0.2209649424
446	0.2208155824
447	0.2206132046
448	0.2205599774
449	0.2201738189
450	0.2200091547
451	0.2198904836
452	0.2198043571
453	0.2196586701
454	0.219509047
455	0.2192584241
456	0.2191098632
457	0.2189003961
458	0.2187810621
459	0.2185306667
460	0.2184243805
461	0.2182716436
462	0.2179824337
463	0.2177827363
464	0.2174742357
465	0.2172612619
466	0.2170885817
467	0.2169072965
468	0.2166969655
469	0.2166065075
470	0.2164595829
471	0.216235364
472	0.2161646764
473	0.2159710456
474	0.2157683751
475	0.2155686888
476	0.2153870273
477	0.2152717442
478	0.2151296146
479	0.2149479594
480	0.214710083
481	0.2145336417
482	0.2143870347
483	0.2142101627
484	0.214107441
485	0.2139862969
486	0.2137328827
487	0.213578066
488	0.2134640659
489	0.2133112843
490	0.213014915
491	0.2128166257
492	0.2126004886
493	0.2123247589
494	0.2121880248
495	0.2119741453
496	0.2117223383
497	0.2114802344
498	0.2112882919
499	0.211180445
